g	1	0	406650
g	1	1	-71420
h	1	1	23530
g	2	0	-12860
g	2	1	-69810
h	2	1	-31700
g	2	2	38520
h	2	2	7950
g	3	0	-4790
g	3	1	-46420
h	3	1	-7503
g	3	2	28670
h	3	2	40310
g	3	3	-9340
h	3	3	-36860
g	4	0	-22300
g	4	1	18930
h	4	1	20780
g	4	2	2760
h	4	2	32930
g	4	3	-13170
h	4	3	-16950
g	4	4	1110
h	4	4	5960
g	5	0	-1650
g	5	1	7550
h	5	1	30
g	5	2	6230
h	5	2	-3340
g	5	3	-1500
h	5	3	2540
g	5	4	-4000
h	5	4	3490
g	5	5	1420
h	5	5	-840
g	6	0	-6370
g	6	1	3240
h	6	1	10510
g	6	2	8020
h	6	2	-9600
g	6	3	270
h	6	3	5030
g	6	4	-4070
h	6	4	1270
g	6	5	2790
h	6	5	-1060
g	6	6	-680
h	6	6	180
g	7	0	640
g	7	1	8920
h	7	1	-270
g	7	2	3660
h	7	2	-2970
g	7	3	-6980
h	7	3	7390
g	7	4	-1140
h	7	4	1980
g	7	5	2390
h	7	5	-2120
g	7	6	-1230
h	7	6	350
g	7	7	310
h	7	7	19
g	8	0	-5110
g	8	1	7200
h	8	1	7810
g	8	2	4530
h	8	2	-7380
g	8	3	-3710
h	8	3	8520
g	8	4	-200
h	8	4	-870
g	8	5	3120
h	8	5	-1680
g	8	6	-2100
h	8	6	720
g	8	7	710
h	8	7	-8
g	8	8	-133
h	8	8	-46
g	9	0	100
g	9	1	330
h	9	1	-290
g	9	2	-960
h	9	2	1890
g	9	3	370
h	9	3	1850
g	9	4	3390
h	9	4	690
g	9	5	-740
h	9	5	320
g	9	6	-680
h	9	6	-430
g	9	7	400
h	9	7	270
g	9	8	-92
h	9	8	-120
g	9	9	9
h	9	9	27
g	10	0	280
g	10	1	490
h	10	1	230
g	10	2	-630
h	10	2	1720
g	10	3	910
h	10	3	1250
g	10	4	2850
h	10	4	-110
g	10	5	-380
h	10	5	-110
g	10	6	-620
h	10	6	-15
g	10	7	440
h	10	7	360
g	10	8	-169
h	10	8	-250
g	10	9	31
h	10	9	80
g	10	10	-0.8
h	10	10	-14
